Id,SalePrice
1461,126796.1596
1462,153871.0212
1463,190145.5805
1464,200376.154
1465,198715.0616
1466,175683.3711
1467,168066.3608
1468,172790.704
1469,178385.6801
1470,120861.6257
1471,190740.8091
1472,104062.7621
1473,104150.9221
1474,143207.6219
1475,110613.742
1476,386028.2651
1477,278093.6437
1478,296258.212
1479,293025.7771
1480,450577.9252
1481,319478.2062
1482,208202.2989
1483,179568.1744
1484,174892.1436
1485,196168.9785
1486,198019.5439
1487,329005.7456
1488,219097.8821
1489,222712.4053
1490,239867.7999
1491,194105.2638
1492,92037.86474
1493,202063.2343
1494,277530.535
1495,274302.1916
1496,228344.5548
1497,173907.4616
1498,166038.4568
1499,172233.2014
1500,169574.5188
1501,183541.0577
1502,167573.733
1503,301237.6281
1504,225684.8547
1505,212037.167
1506,191280.1356
1507,262234.7677
1508,209916.4262
1509,145576.5236
1510,149692.331
1511,140409.7853
1512,175941.0781
1513,138514.8069
1514,182460.3135
1515,192966.5462
1516,156902.7788
1517,174917.7691
1518,129650.7971
1519,219994.105
1520,129697.0174
1521,130341.6609
1522,176651.547
1523,109253.4365
1524,113006.4032
1525,115991.8355
1526,113896.5759
1527,118143.6279
1528,118866.1285
1529,142630.3326
1530,190313.0728
1531,149265.3844
1532,95508.12251
1533,147526.3029
1534,123741.3318
1535,150197.0948
1536,110849.4669
1537,81203.00452
1538,148596.7526
1539,197238.8303
1540,119088.6345
1541,130095.2296
1542,124359.7368
1543,166802.1205
1544,86532.10317
1545,102681.7533
1546,134250.341
1547,137121.0479
1548,115096.7528
1549,113115.2549
1550,136051.8457
1551,110863.3624
1552,161618.1638
1553,153048.5281
1554,109481.4208
1555,174010.1117
1556,86661.20168
1557,96662.37074
1558,109870.1476
1559,90494.91491
1560,128640.9662
1561,126699.716
1562,137768.3691
1563,125534.9686
1564,160099.05
1565,162275.6957
1566,216092.9624
1567,87963.22998
1568,232644.9785
1569,152077.2182
1570,150050.9373
1571,115930.6034
1572,145614.1603
1573,282611.6597
1574,118495.8457
1575,229103.8297
1576,238640.1482
1577,214569.4459
1578,145734.4705
1579,148943.4848
1580,189559.7972
1581,167665.2683
1582,120275.3718
1583,321301.3346
1584,231484.093
1585,150820.654
1586,76128.69631
1587,105114.4736
1588,150774.2922
1589,111002.5109
1590,123929.2954
1591,105104.7296
1592,127354.6454
1593,136230.5038
1594,130252.4347
1595,117070.801
1596,213225.7123
1597,182901.3118
1598,193827.7371
1599,185321.3295
1600,181356.6426
1601,75466.61257
1602,127285.3914
1603,75946.88726
1604,273830.5743
1605,236685.4592
1606,151587.5059
1607,202400.3357
1608,240731.983
1609,208781.8665
1610,160955.1016
1611,144560.3989
1612,181130.0834
1613,180315.1916
1614,132458.721
1615,102003.4619
1616,83301.35956
1617,100928.9447
1618,115204.9226
1619,148622.9305
1620,185335.4743
1621,134338.3432
1622,146391.9816
1623,268523.9507
1624,217561.0539
1625,118244.6116
1626,167954.7899
1627,191825.0501
1628,279059.6455
1629,178110.7686
1630,314380.0495
1631,207968.6105
1632,215390.9585
1633,182916.9784
1634,191763.3632
1635,179672.0821
1636,158343.044
1637,186598.0259
1638,200909.5784
1639,179921.6715
1640,247783.1206
1641,171814.9841
1642,231004.4408
1643,209193.9569
1644,229808.9831
1645,209610.7679
1646,159072.9575
1647,147028.0363
1648,128484.779
1649,133303.2927
1650,122682.0488
1651,125520.2717
1652,105020.6131
1653,99657.29016
1654,141252.452
1655,128449.9919
1656,138621.7453
1657,139460.1137
1658,149482.5526
1659,111223.3745
1660,163683.2053
1661,440905.0873
1662,354674.1841
1663,393216.6164
1664,420468.9394
1665,339648.2633
1666,319303.3361
1667,341195.704
1668,343338.6486
1669,290645.4758
1670,350188.4873
1671,254229.417
1672,415511.2318
1673,310821.6175
1674,244198.7731
1675,198191.9896
1676,201960.7124
1677,220775.7552
1678,465346.7069
1679,378503.6963
1680,343565.8735
1681,279396.2089
1682,300200.5687
1683,184213.2919
1684,178354.6815
1685,179837.7287
1686,179341.4955
1687,176834.4065
1688,200254.6958
1689,198982.2929
1690,197612.285
1691,192470.8085
1692,272748.0354
1693,176810.7048
1694,189833.5071
1695,167057.4793
1696,271658.2997
1697,169871.0411
1698,348550.934
1699,337752.4717
1700,242642.0312
1701,256345.4158
1702,277657.4808
1703,257038.2648
1704,265201.8775
1705,243076.1635
1706,353785.4511
1707,226628.2612
1708,209077.0743
1709,276749.3347
1710,220009.1694
1711,261010.7457
1712,263232.1741
1713,266965.8106
1714,207550.5514
1715,197830.8531
1716,175335.879
1717,174993.819
1718,141170.6363
1719,206205.485
1720,233830.3117
1721,170312.9718
1722,140028.2082
1723,165431.9955
1724,231475.3615
1725,243609.0677
1726,194086.1347
1727,155540.064
1728,177898.9248
1729,160883.0374
1730,142756.6969
1731,121675.83
1732,136764.3875
1733,116739.99
1734,118210.4908
1735,133742.9023
1736,109259.9437
1737,307975.3501
1738,233211.883
1739,241043.0484
1740,253685.0296
1741,223925.1014
1742,168635.1142
1743,176468.9622
1744,318029.6122
1745,205329.6696
1746,194832.0389
1747,215171.2148
1748,211038.3253
1749,148556.3505
1750,124089.9833
1751,233773.7125
1752,119000.4929
1753,152373.7116
1754,193484.3312
1755,175080.593
1756,124634.7056
1757,117843.4064
1758,157419.5927
1759,159231.9212
1760,166634.5323
1761,154980.5587
1762,187015.4706
1763,179919.4575
1764,124278.0025
1765,162843.6308
1766,185777.3998
1767,227953.8572
1768,137745.8243
1769,158342.9007
1770,149948.3411
1771,122751.8718
1772,122802.2918
1773,134828.3205
1774,187566.4473
1775,135207.6478
1776,129963.3601
1777,115513.8137
1778,140742.9324
1779,120585.8824
1780,152976.7694
1781,125819.9001
1782,102313.836
1783,155839.0643
1784,114109.0459
1785,124441.013
1786,213874.8717
1787,169264.8191
1788,89172.14111
1789,106710.7437
1790,99721.86611
1791,206716.2304
1792,139247.3323
1793,122510.8158
1794,147247.3147
1795,125512.771
1796,149084.6395
1797,114408.1921
1798,127329.5209
1799,106525.2812
1800,134473.2176
1801,126349.3659
1802,116765.2062
1803,151616.9232
1804,138599.5038
1805,136182.7766
1806,112174.9294
1807,132954.0894
1808,132303.8517
1809,124588.2065
1810,140386.9601
1811,98787.34944
1812,85739.8139
1813,118724.0501
1814,99150.05981
1815,53513.18778
1816,102481.2268
1817,128628.4049
1818,153566.8311
1819,139578.9733
1820,69822.29803
1821,99080.56142
1822,151301.8948
1823,45430.35482
1824,140145.1509
1825,136906.1269
1826,115416.5691
1827,101532.0661
1828,134801.1992
1829,134148.4349
1830,129944.2805
1831,123525.5716
1832,96750.63657
1833,133821.3467
1834,127621.0261
1835,117377.1305
1836,106776.3015
1837,98741.95319
1838,112114.4346
1839,110608.1587
1840,165530.9753
1841,138741.9814
1842,101971.9605
1843,149538.3673
1844,152032.2831
1845,153010.9803
1846,158393.0361
1847,197382.9035
1848,55275.15132
1849,116788.7609
1850,119736.9245
1851,150945.1601
1852,130273.963
1853,151448.6886
1854,169815.2778
1855,144517.5752
1856,215374.2343
1857,153017.9992
1858,124379.1844
1859,109086.0296
1860,142825.4184
1861,107013.7348
1862,282427.5122
1863,269773.401
1864,269773.401
1865,348792.5852
1866,336222.9086
1867,242116.9306
1868,299145.5749
1869,198023.3001
1870,242596.5725
1871,264445.9638
1872,188936.4749
1873,236462.8334
1874,149419.6173
1875,207116.5086
1876,195322.2007
1877,202316.7396
1878,215959.4632
1879,134927.6393
1880,127307.4316
1881,250665.9065
1882,254370.2645
1883,182540.2586
1884,197297.856
1885,238823.2126
1886,283101.1689
1887,197841.7238
1888,267947.2426
1889,183854.3317
1890,120249.1935
1891,128995.1986
1892,110886.9654
1893,122296.7322
1894,134775.9823
1895,141101.9321
1896,128511.4995
1897,132435.9272
1898,118711.0369
1899,148463.4164
1900,150570.3699
1901,168906.1492
1902,135729.6595
1903,196223.6392
1904,143913.4583
1905,186418.5584
1906,152385.9346
1907,215416.47
1908,109039.7198
1909,141140.1322
1910,118547.6808
1911,199837.9979
1912,292877.3319
1913,157160.353
1914,63584.37247
1915,328904.4333
1916,63561.08963
1917,246635.7296
1918,139598.3295
1919,160518.0988
1920,157363.9417
1921,426654.316
1922,342948.6517
1923,209022.394
1924,245745.2458
1925,201992.6158
1926,400476.4915
1927,130899.9718
1928,163568.7736
1929,118084.7783
1930,134652.9345
1931,157642.0159
1932,138808.689
1933,204094.8683
1934,180075.1443
1935,171671.8116
1936,193415.4762
1937,192319.7305
1938,180276.9815
1939,233600.258
1940,199451.6151
1941,173421.8473
1942,182851.3812
1943,218193.7951
1944,350091.651
1945,381075.9514
1946,145097.2721
1947,240455.7786
1948,180402.39
1949,244824.5858
1950,168965.8279
1951,280578.0948
